task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1070	97/7a88eb	46701	AncestralAllele (35)	COMPLETED	0	2024-06-12 23:24:06.796	1.9s	1s	102.1%	11.4 MB	20.2 MB	7.7 MB	15.1 KB
1069	40/69c55d	46699	AncestralAllele (34)	COMPLETED	0	2024-06-12 23:24:06.777	2s	1s	103.4%	3.4 MB	7.2 MB	7.7 MB	15.5 KB
1071	ac/ff373d	46737	AncestralAllele (36)	COMPLETED	0	2024-06-12 23:24:08.705	1.9s	1s	103.4%	11.6 MB	20.2 MB	7.2 MB	14.5 KB
1072	e5/ac5ae1	46743	AncestralAllele (37)	COMPLETED	0	2024-06-12 23:24:08.732	1.9s	982ms	102.8%	11.2 MB	20.2 MB	7.2 MB	14.5 KB
1074	0e/057fae	46781	AncestralAllele (39)	COMPLETED	0	2024-06-12 23:24:10.616	1.8s	965ms	102.5%	11.2 MB	20.2 MB	7.2 MB	14.5 KB
1073	97/1478f0	46775	AncestralAllele (38)	COMPLETED	0	2024-06-12 23:24:10.572	1.9s	958ms	105.7%	11.1 MB	19.9 MB	7.7 MB	15.2 KB
1075	ff/f4b6b4	46812	AncestralAllele (40)	COMPLETED	0	2024-06-12 23:24:12.424	2s	1.1s	104.5%	11.5 MB	20.2 MB	7.2 MB	14.6 KB
1076	a1/56e37c	46828	AncestralAllele (41)	COMPLETED	0	2024-06-12 23:24:12.501	2s	1.1s	101.5%	11.2 MB	20.2 MB	8.6 MB	15 KB
1077	c7/46d327	46854	AncestralAllele (42)	COMPLETED	0	2024-06-12 23:24:14.386	2s	1.1s	104.3%	12.6 MB	21.3 MB	8.6 MB	14.8 KB
1078	e2/f44c35	46872	AncestralAllele (43)	COMPLETED	0	2024-06-12 23:24:14.514	1.9s	965ms	104.0%	11.2 MB	20.2 MB	7.7 MB	14.8 KB
1079	7f/8f55be	46899	AncestralAllele (44)	COMPLETED	0	2024-06-12 23:24:16.384	1.8s	937ms	104.2%	10.8 MB	19.8 MB	7.7 MB	14.8 KB
1080	de/eccd8f	46909	AncestralAllele (45)	COMPLETED	0	2024-06-12 23:24:16.447	1.9s	948ms	105.1%	11.2 MB	19.9 MB	8.6 MB	15 KB
1081	c5/9d0be6	46937	AncestralAllele (46)	COMPLETED	0	2024-06-12 23:24:18.188	1.9s	982ms	105.7%	11.2 MB	20.2 MB	8.6 MB	15.7 KB
1082	82/809808	46955	AncestralAllele (47)	COMPLETED	0	2024-06-12 23:24:18.312	1.8s	956ms	102.2%	10.9 MB	19.8 MB	8.6 MB	16.5 KB
1083	75/6f1e07	46975	AncestralAllele (48)	COMPLETED	0	2024-06-12 23:24:20.082	1.8s	941ms	105.0%	11.4 MB	20.2 MB	7.7 MB	14.8 KB
1084	22/286bd0	46993	AncestralAllele (49)	COMPLETED	0	2024-06-12 23:24:20.147	1.8s	914ms	103.7%	11.4 MB	20.2 MB	7.7 MB	14.8 KB
1086	0a/4c8ac8	47029	AncestralAllele (51)	COMPLETED	0	2024-06-12 23:24:21.985	1.8s	930ms	104.7%	11.8 MB	20.2 MB	6.7 MB	14.1 KB
1085	68/74ba20	47013	AncestralAllele (50)	COMPLETED	0	2024-06-12 23:24:21.903	2s	1s	102.7%	11.5 MB	20.2 MB	7.7 MB	14.8 KB
1087	21/af67a8	47053	AncestralAllele (52)	COMPLETED	0	2024-06-12 23:24:23.815	2s	1.1s	102.2%	11.2 MB	19.9 MB	10.4 MB	14.3 KB
1088	c8/337144	47061	AncestralAllele (53)	COMPLETED	0	2024-06-12 23:24:23.861	2s	1.1s	103.7%	11.2 MB	20.2 MB	10.4 MB	14.4 KB
1090	22/bd4e5a	47097	AncestralAllele (55)	COMPLETED	0	2024-06-12 23:24:25.879	1.8s	953ms	103.8%	10.5 MB	19.4 MB	6.7 MB	14.1 KB
